   1 10.244.2.159                             =>     75.2Kb     27.4Kb     18.1Kb     40.7KB
     10.244.2.143                             <=         0b         0b         0b         0B
   2 10.244.2.163                             =>         0b     5.62Kb     6.26Kb     14.1KB
     10.244.2.143                             <=         0b         0b         0b         0B
   3 10.244.2.160                             =>         0b     5.19Kb     3.39Kb     7.62KB
     10.244.2.143                             <=         0b         0b         0b         0B
   4 10.244.2.150                             =>         0b     2.40Kb     1.33Kb     3.00KB
     10.244.2.143                             <=         0b         0b         0b         0B
   5 10.244.2.162                             =>         0b         0b     2.05Kb     4.62KB
     10.244.2.143                             <=         0b         0b         0b         0B
   6 10.244.2.153                             =>         0b         0b     1.45Kb     3.25KB
     10.244.2.143                             <=         0b         0b         0b         0B
   7 10.244.2.155                             =>         0b         0b       174b       392B
     10.244.2.143                             <=         0b         0b         0b         0B
--------------------------------------------------------------------------------------------
