NAME                                     READY   STATUS    RESTARTS   AGE   IP             NODE        NOMINATED NODE   READINESS GATES
compose-post-service-56f957d78-d588z     1/1     Running   0          25h   10.244.2.150   skv-node3   <none>           <none>
home-timeline-redis-5d57944d58-7qpx2     1/1     Running   0          25h   10.244.2.141   skv-node3   <none>           <none>
home-timeline-service-7b7d47798-l4zxb    1/1     Running   0          25h   10.244.2.160   skv-node3   <none>           <none>
jaeger-agent-747c5657b5-gt4tr            1/1     Running   0          25h   10.244.2.143   skv-node3   <none>           <none>
media-frontend-5c77d9956c-ggwbq          1/1     Running   0          25h   10.244.2.151   skv-node3   <none>           <none>
media-memcached-65d769f6d5-tjxzb         1/1     Running   0          25h   10.244.2.147   skv-node3   <none>           <none>
media-mongodb-f9d6b8b8f-65x69            1/1     Running   0          25h   10.244.2.142   skv-node3   <none>           <none>
media-service-684f4698f7-dzqvj           1/1     Running   0          25h   10.244.2.161   skv-node3   <none>           <none>
nginx-thrift-6bdf9789d8-nxcwh            1/1     Running   0          25h   10.244.2.159   skv-node3   <none>           <none>
post-storage-memcached-5bbc5979c-hs9wl   1/1     Running   0          25h   10.244.2.152   skv-node3   <none>           <none>
post-storage-mongodb-7cfc4cbd7-fzl4d     1/1     Running   0          25h   10.244.2.144   skv-node3   <none>           <none>
post-storage-service-589f9b87c4-bxsnn    1/1     Running   0          25h   10.244.2.148   skv-node3   <none>           <none>
social-graph-mongodb-58b9b47b55-p7x4j    1/1     Running   0          25h   10.244.2.138   skv-node3   <none>           <none>
social-graph-redis-b4b7795fc-pcg7g       1/1     Running   0          25h   10.244.2.149   skv-node3   <none>           <none>
social-graph-service-58f48b6fd9-c6lkm    1/1     Running   0          25h   10.244.2.155   skv-node3   <none>           <none>
text-service-7884b576b7-ftl4s            1/1     Running   0          25h   10.244.2.156   skv-node3   <none>           <none>
unique-id-service-84bc75f56b-w78bs       1/1     Running   0          25h   10.244.2.154   skv-node3   <none>           <none>
url-shorten-memcached-b7c57cd-zs266      1/1     Running   0          25h   10.244.2.158   skv-node3   <none>           <none>
url-shorten-mongodb-7698656846-rbpl5     1/1     Running   0          25h   10.244.2.140   skv-node3   <none>           <none>
url-shorten-service-7c6d8d69b-fb28f      1/1     Running   0          25h   10.244.2.163   skv-node3   <none>           <none>
user-memcached-78f5d89d76-dtpd9          1/1     Running   0          25h   10.244.2.145   skv-node3   <none>           <none>
user-mention-service-695f8b49c-jpbf7     1/1     Running   0          25h   10.244.2.162   skv-node3   <none>           <none>
user-mongodb-546d846fd6-dr5kk            1/1     Running   0          25h   10.244.2.139   skv-node3   <none>           <none>
user-service-5df76bdbc5-cnlrw            1/1     Running   0          25h   10.244.2.157   skv-node3   <none>           <none>
user-timeline-mongodb-6c6ff65478-9ml9d   1/1     Running   0          25h   10.244.2.137   skv-node3   <none>           <none>
user-timeline-redis-6dfd8c8874-kcklw     1/1     Running   0          25h   10.244.2.146   skv-node3   <none>           <none>
user-timeline-service-5f77775666-6ttsw   1/1     Running   0          25h   10.244.2.153   skv-node3   <none>           <none>
