NAME                     TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                                                   AGE   SELECTOR
compose-post-service     ClusterIP   10.105.210.143   <none>        9090/TCP                                                  25h   app-name=compose-post-service,death-star-project=social-network
home-timeline-redis      ClusterIP   10.110.249.27    <none>        6379/TCP                                                  25h   app-name=home-timeline-redis,death-star-project=social-network
home-timeline-service    ClusterIP   10.103.69.115    <none>        9090/TCP                                                  25h   app-name=home-timeline-service,death-star-project=social-network
jaeger-agent             ClusterIP   10.100.99.222    <none>        5775/UDP,5778/TCP,6831/UDP,6832/UDP,14250/TCP,14268/TCP   25h   app-name=jaeger,death-star-project=social-network
jaeger-out               NodePort    10.109.53.203    <none>        16686:32000/TCP                                           25h   app-name=jaeger,death-star-project=social-network
media-frontend           NodePort    10.109.253.22    <none>        8080:32475/TCP                                            25h   app-name=media-frontend,death-star-project=social-network
media-memcached          ClusterIP   10.98.146.142    <none>        11211/TCP                                                 25h   app-name=media-memcached,death-star-project=social-network
media-mongodb            ClusterIP   10.103.231.173   <none>        27017/TCP                                                 25h   app-name=media-mongodb,death-star-project=social-network
media-service            ClusterIP   10.96.29.4       <none>        9090/TCP                                                  25h   app-name=media-service,death-star-project=social-network
nginx-thrift             NodePort    10.106.62.145    <none>        8080:31222/TCP                                            25h   app-name=nginx-thrift,death-star-project=social-network
post-storage-memcached   ClusterIP   10.98.220.105    <none>        11211/TCP                                                 25h   app-name=post-storage-memcached,death-star-project=social-network
post-storage-mongodb     ClusterIP   10.110.165.226   <none>        27017/TCP                                                 25h   app-name=post-storage-mongodb,death-star-project=social-network
post-storage-service     ClusterIP   10.103.112.217   <none>        9090/TCP                                                  25h   app-name=post-storage-service,death-star-project=social-network
social-graph-mongodb     ClusterIP   10.101.145.40    <none>        27017/TCP                                                 25h   app-name=social-graph-mongodb,death-star-project=social-network
social-graph-redis       ClusterIP   10.102.199.129   <none>        6379/TCP                                                  25h   app-name=social-graph-redis,death-star-project=social-network
social-graph-service     ClusterIP   10.101.106.120   <none>        9090/TCP                                                  25h   app-name=social-graph-service,death-star-project=social-network
text-service             ClusterIP   10.99.74.193     <none>        9090/TCP                                                  25h   app-name=text-service,death-star-project=social-network
unique-id-service        ClusterIP   10.100.114.241   <none>        9090/TCP                                                  25h   app-name=unique-id-service,death-star-project=social-network
url-shorten-memcached    ClusterIP   10.96.17.111     <none>        11211/TCP                                                 25h   app-name=url-shorten-memcached,death-star-project=social-network
url-shorten-mongodb      ClusterIP   10.101.42.86     <none>        27017/TCP                                                 25h   app-name=url-shorten-mongodb,death-star-project=social-network
url-shorten-service      ClusterIP   10.101.150.181   <none>        9090/TCP                                                  25h   app-name=url-shorten-service,death-star-project=social-network
user-memcached           ClusterIP   10.99.92.30      <none>        11211/TCP                                                 25h   app-name=user-memcached,death-star-project=social-network
user-mention-service     ClusterIP   10.109.171.230   <none>        9090/TCP                                                  25h   app-name=user-mention-service,death-star-project=social-network
user-mongodb             ClusterIP   10.108.154.235   <none>        27017/TCP                                                 25h   app-name=user-mongodb,death-star-project=social-network
user-service             ClusterIP   10.105.194.58    <none>        9090/TCP                                                  25h   app-name=user-service,death-star-project=social-network
user-timeline-mongodb    ClusterIP   10.98.213.174    <none>        27017/TCP                                                 25h   app-name=user-timeline-mongodb,death-star-project=social-network
user-timeline-redis      ClusterIP   10.97.31.86      <none>        6379/TCP                                                  25h   app-name=user-timeline-redis,death-star-project=social-network
user-timeline-service    ClusterIP   10.111.251.133   <none>        9090/TCP                                                  25h   app-name=user-timeline-service,death-star-project=social-network
